"colonna1","colonna2"
"Plasmodium metabolite HMBPP stimulates feeding of main mosquito vectors on blood and artificial toxic sources","Plasmodium's fight for survival: escaping elimination while acquiring nutrients"
"Plasmodium infection brings forward mosquito oviposition","Plasmodium yoelii sporozoites with simultaneous deletion of P52 and P36 are completely attenuated and confer sterile immunity against infection"
"Plasmodium infection and dysbiosis: A new paradigm in the host-parasite interaction","Plasmodium yoelii iron transporter PyDMT1 interacts with host ferritin and is required in full activity for malarial pathogenesis"
"Plasmodium yoelii sporozoites with simultaneous deletion of P52 and P36 are completely attenuated and confer sterile immunity against infection","Plasmodium relictum infection in Culex quinquefasciatus (Culicidae) decreases diel flight activity but increases peak dusk flight activity"
"Plasmodium yoelii iron transporter PyDMT1 interacts with host ferritin and is required in full activity for malarial pathogenesis","Plasmodium metabolite HMBPP stimulates feeding of main mosquito vectors on blood and artificial toxic sources"
"Plasmodium relictum infection in Culex quinquefasciatus (Culicidae) decreases diel flight activity but increases peak dusk flight activity","Plasmodium knowlesi: from severe zoonosis to animal model"
"Plasmodium knowlesi: from severe zoonosis to animal model","Plasmodium knowlesi provides a rapid in vitro and in vivo transfection system that enables double-crossover gene knockout studies"
"Plasmodium knowlesi provides a rapid in vitro and in vivo transfection system that enables double-crossover gene knockout studies","Plasmodium infection brings forward mosquito oviposition"
"Plasmodium falciparum Infection Increases Anopheles gambiae Attraction to Nectar Sources and Sugar Uptake","Plasmodium infection and dysbiosis: A new paradigm in the host-parasite interaction"
"Plasmodium falciparum gametocyte-induced volatiles enhance attraction of Anopheles mosquitoes in the field","Plasmodium falciparum Infection Increases Anopheles gambiae Attraction to Nectar Sources and Sugar Uptake"
"Plasmodium falciparum encodes a conserved active inhibitor-2 for Protein Phosphatase type 1: perspectives for novel anti-plasmodial therapy","Plasmodium falciparum gametocyte-induced volatiles enhance attraction of Anopheles mosquitoes in the field"
"Plasmodium falciparum biology: analysis of in vitro versus in vivo growth conditions","Plasmodium falciparum encodes a conserved active inhibitor-2 for Protein Phosphatase type 1: perspectives for novel anti-plasmodial therapy"
"Plasmid Vectors and Molecular Building Blocks for the Development of Genetic Manipulation Tools for Trypanosoma cruzi","Plasmodium falciparum biology: analysis of in vitro versus in vivo growth conditions"
"Plant-nematode Interactions: From Genomics to Metabolomics","Plasmid Vectors and Molecular Building Blocks for the Development of Genetic Manipulation Tools for Trypanosoma cruzi"
"Plant viruses alter insect behavior to enhance their spread","Plant-nematode Interactions: From Genomics to Metabolomics"
"piggyBac Transposon","Plant viruses alter insect behavior to enhance their spread"
"Physiological stress responses to nonmimetic model brood parasite eggs: Leukocyte profiles and heat-shock protein Hsp70 levels","piggyBac Transposon"
"Physiological ecology of Mediterranean blue tits (Parus caeruleus L.):: Effects of ectoparasites (Protocalliphora spp.) and food abundance on metabolic capacity of nestlings","Physiological stress responses to nonmimetic model brood parasite eggs: Leukocyte profiles and heat-shock protein Hsp70 levels"
"Physiological cost induced by the maternally-transmitted endosymbiont Wolbachia in the Drosophila parasitoid Leptopilina heterotoma","Physiological ecology of Mediterranean blue tits (Parus caeruleus L.):: Effects of ectoparasites (Protocalliphora spp.) and food abundance on metabolic capacity of nestlings"
"Physiological consequences of parasite infection in the burrowing mud shrimp, Upogebia pugettensis, a widespread ecosystem engineer","Physiological cost induced by the maternally-transmitted endosymbiont Wolbachia in the Drosophila parasitoid Leptopilina heterotoma"
"Physiological condition of Eastern Baltic cod, Gadus morhua, infected with the parasitic nematode Contracaecum osculatum","Physiological consequences of parasite infection in the burrowing mud shrimp, Upogebia pugettensis, a widespread ecosystem engineer"
"PHENOTYPIC MANIPULATION BY THE CESTODE PARASITE SCHISTOCEPHALUS-SOLIDUS OF ITS INTERMEDIATE HOST, GASTEROSTEUS-ACULEATUS, THE THREESPINE STICKLEBACK","Physiological condition of Eastern Baltic cod, Gadus morhua, infected with the parasitic nematode Contracaecum osculatum"
"Phenotypic modification of roach (Rutilus rutilus L.) infected with Ligula intestinalis L. (Cestoda: Pseudophyllidea)","Phenotypic modification of roach (Rutilus rutilus L.) infected with Ligula intestinalis L. (Cestoda: Pseudophyllidea)"
"Perspectives and Debates: Mimicry, Signalling and Co-Evolution (Commentary on Wolfgang Wickler Understanding Mimicry With special reference to vocal mimicry)","PHENOTYPIC MANIPULATION BY THE CESTODE PARASITE SCHISTOCEPHALUS-SOLIDUS OF ITS INTERMEDIATE HOST, GASTEROSTEUS-ACULEATUS, THE THREESPINE STICKLEBACK"
"Personality and parasites: sex-dependent associations between avian malaria infection and multiple behavioural traits","Perspectives and Debates: Mimicry, Signalling and Co-Evolution (Commentary on Wolfgang Wickler Understanding Mimicry With special reference to vocal mimicry)"
"Personality and ectoparasitic mites (Hemipteroseius adleri) in firebugs (Pyrrhocoris apterus)","Personality and parasites: sex-dependent associations between avian malaria infection and multiple behavioural traits"
"Persisting Microbiota and Neuronal Imbalance Following T. gondii Infection Reliant on the Infection Route","Personality and ectoparasitic mites (Hemipteroseius adleri) in firebugs (Pyrrhocoris apterus)"
"Peculiar liquid-feeding and pathogen transmission behavior of Aedes togoi and comparison with Anopheles sinensis","Persisting Microbiota and Neuronal Imbalance Following T. gondii Infection Reliant on the Infection Route"
"PCR Screening of Toxoplasma gondii Single Clones Directly from 96-Well Plates Without DNA Purification","Peculiar liquid-feeding and pathogen transmission behavior of Aedes togoi and comparison with Anopheles sinensis"
"Patterns of Toxoplasma gondii cyst distribution in the forebrain associate with individual variation in predator odor avoidance and anxiety-related behavior in male Long-Evans rats","PCR Screening of Toxoplasma gondii Single Clones Directly from 96-Well Plates Without DNA Purification"
"Patterns of Specificity of the Pathogen Escovopsis across the Fungus-Growing Ant Symbiosis","Patterns of Toxoplasma gondii cyst distribution in the forebrain associate with individual variation in predator odor avoidance and anxiety-related behavior in male Long-Evans rats"
"Patterns of intermediate host use and levels of association between two conflicting manipulative parasites","Patterns of Specificity of the Pathogen Escovopsis across the Fungus-Growing Ant Symbiosis"
"Patterns of house infestation dynamics by non-domiciliated Triatoma dimidiata reveal a spatial gradient of infestation in rural villages and potential insect manipulation by Trypanosoma cruzi","Patterns of intermediate host use and levels of association between two conflicting manipulative parasites"
"Patterns and variation in the mammal parasite-glucocorticoid relationship","Patterns of house infestation dynamics by non-domiciliated Triatoma dimidiata reveal a spatial gradient of infestation in rural villages and potential insect manipulation by Trypanosoma cruzi"
"Pathways to understanding the extended phenotype of parasites in their hosts","Patterns and variation in the mammal parasite-glucocorticoid relationship"
"Pathogens manipulate the preference of vectors, slowing disease spread in a multi-host system","Pathways to understanding the extended phenotype of parasites in their hosts"
"Pathogen-Mediated Alterations of Insect Chemical Communication: From Pheromones to Behavior","Pathogens manipulate the preference of vectors, slowing disease spread in a multi-host system"
"Pathogenic fungus uses volatiles to entice male flies into fatal matings with infected female cadavers","Pathogen-Mediated Alterations of Insect Chemical Communication: From Pheromones to Behavior"
"Pathogenic bacteria enhance dispersal through alteration of Drosophila social communication","Pathogenic fungus uses volatiles to entice male flies into fatal matings with infected female cadavers"
"Pathogenesis and Animal Models of Post-Primary (Bronchogenic) Tuberculosis, A Review","Pathogenic bacteria enhance dispersal through alteration of Drosophila social communication"
"Parental care of a cowbird host: caught between the costs of egg-removal and nest predation","Pathogenesis and Animal Models of Post-Primary (Bronchogenic) Tuberculosis, A Review"
"Parental age and offspring ectoparasite load in European Shags Stictocarbo aristotelis","Parental care of a cowbird host: caught between the costs of egg-removal and nest predation"
"Paratenic hosts as regular transmission route in the acanthocephalan Pomphorhynchus laevis: potential implications for food webs","Parental age and offspring ectoparasite load in European Shags Stictocarbo aristotelis"
"Parasitoid wasps influence where aphids die via an interspecific indirect genetic effect","Paratenic hosts as regular transmission route in the acanthocephalan Pomphorhynchus laevis: potential implications for food webs"
"Parasitoid wasp usurps its host to guard its pupa against hyperparasitoids and induces rapid behavioral changes in the parasitized host","Parasitoid wasps influence where aphids die via an interspecific indirect genetic effect"
"Parasitoid Increases Survival of Its Pupae by Inducing Hosts to Fight Predators","Parasitoid wasp usurps its host to guard its pupa against hyperparasitoids and induces rapid behavioral changes in the parasitized host"
"Parasitoid fly induces manipulative grave-digging behaviour differentially across its bumblebee hosts","Parasitoid Increases Survival of Its Pupae by Inducing Hosts to Fight Predators"
"Parasitized snails take the heat: a case of host manipulation?","Parasitoid fly induces manipulative grave-digging behaviour differentially across its bumblebee hosts"
"Parasitization of a hydrothermal vent limpet (Lepetodrilidae, Vetigastropoda) by a highly modified copepod (Chitonophilidae, Cyclopoida)","Parasitized snails take the heat: a case of host manipulation?"
"Parasitization by Cotesia chilonis Influences Gene Expression in Fatbody and Hemocytes of Chilo suppressalis","Parasitization of a hydrothermal vent limpet (Lepetodrilidae, Vetigastropoda) by a highly modified copepod (Chitonophilidae, Cyclopoida)"
"Parasitism, personality and cognition in fish","Parasitization by Cotesia chilonis Influences Gene Expression in Fatbody and Hemocytes of Chilo suppressalis"
"Parasitism, movement, and distribution of the snail Diloma subrostrata (Trochidae) in a soft-sediment intertidal zone","Parasitism, personality and cognition in fish"
"Parasitism, immune response and reproductive success in the house martin Delichon urbica","Parasitism, movement, and distribution of the snail Diloma subrostrata (Trochidae) in a soft-sediment intertidal zone"
"Parasitism effects on coexistence and stability within simple trophic modules","Parasitism, immune response and reproductive success in the house martin Delichon urbica"
"Parasitism can influence the intertidal zonation of non-host organisms","Parasitism effects on coexistence and stability within simple trophic modules"
"Parasitism as a Driver of Trophic Niche Specialisation","Parasitism can influence the intertidal zonation of non-host organisms"
"Parasitism and host behavior in the context of a changing environment: The Holocene record of the commercially important bivalve Chamelea gallina, northern Italy","Parasitism as a Driver of Trophic Niche Specialisation"
"Parasitism and the burrowing depth of the beach hopper Talorchestia quoyana (Amphipoda: Talitridae)","Parasitism and the burrowing depth of the beach hopper Talorchestia quoyana (Amphipoda: Talitridae)"
"Parasitism and the Biodiversity-Functioning Relationship","Parasitism and the Biodiversity-Functioning Relationship"
"Parasitism and phenotypic change in colonial hosts","Parasitism and phenotypic change in colonial hosts"
"Parasitism and behavioural syndromes in the fish Gobiomorphus cotidianus","Parasitism and host behavior in the context of a changing environment: The Holocene record of the commercially important bivalve Chamelea gallina, northern Italy"
"Parasitic manipulation or by-product of infection: an experimental approach using trematode-infected snails","Parasitism and behavioural syndromes in the fish Gobiomorphus cotidianus"
"Parasitic Manipulation of Host Behaviour: Baculovirus SeMNPV EGT Facilitates Tree-Top Disease in Spodoptera exigua Larvae by Extending the Time to Death","Parasitic manipulations of the host phenotype: Effects in the internal and external environments"
"Parasitic Manipulation of Hosts' Phenotype, or How to Make a Zombie-An Introduction to the Symposium","Parasitic manipulation: where are we and where should we go?"
"Parasitic manipulation and neuroinflammation: Evidence from the system Microphallus papillorobustus (Trematoda) - Gammarus (Crustacea)","Parasitic manipulation or by-product of infection: an experimental approach using trematode-infected snails"
"Parasitic manipulations of the host phenotype: Effects in the internal and external environments","Parasitic Manipulation of Hosts' Phenotype, or How to Make a Zombie-An Introduction to the Symposium"
"Parasitic manipulation: where are we and where should we go?","Parasitic Manipulation of Host Behaviour: Baculovirus SeMNPV EGT Facilitates Tree-Top Disease in Spodoptera exigua Larvae by Extending the Time to Death"
"Parasitic infection: a missing piece of the ocean acidification puzzle","Parasitic manipulation and neuroinflammation: Evidence from the system Microphallus papillorobustus (Trematoda) - Gammarus (Crustacea)"
"Parasitic flies alter the dietary preference of grasshoppers","Parasitic infection: a missing piece of the ocean acidification puzzle"
"Parasitic diseases: Opportunities and challenges in the 21st century","Parasitic flies alter the dietary preference of grasshoppers"
"Parasitic disease in amphibians: Control by the regulation of worm burdens","Parasitic diseases: Opportunities and challenges in the 21st century"
"Parasitic Aphrodisiacs: Manipulation of the Hosts' Behavioral Defenses by Sexually Transmitted Parasites","Parasitic disease in amphibians: Control by the regulation of worm burdens"
"Parasitic antigens alter macrophage polarization during Schistosoma japonicum infection in mice","Parasitic Aphrodisiacs: Manipulation of the Hosts' Behavioral Defenses by Sexually Transmitted Parasites"
"Parasites: evolution's neurobiologists","Parasitic antigens alter macrophage polarization during Schistosoma japonicum infection in mice"
"Parasites, pathogens, and other symbionts of copepods","Parasites: evolution's neurobiologists"
"Parasites shape community structure and dynamics in freshwater crustaceans","Parasites, pathogens, and other symbionts of copepods"
"Parasites reduce food web robustness because they are sensitive to secondary extinction as illustrated by an invasive estuarine snail","Parasites shape community structure and dynamics in freshwater crustaceans"
"Parasites promote mating success: the case of a midge and a mite","Parasites reduce food web robustness because they are sensitive to secondary extinction as illustrated by an invasive estuarine snail"
"Parasites lead to evolution of robustness against gene loss in host signaling networks","Parasites promote mating success: the case of a midge and a mite"
"PARASITES IN MARINE FOOD WEBS","Parasites lead to evolution of robustness against gene loss in host signaling networks"
"Parasites in brains of wild rodents (Arvicolinae and Murinae) in the city of Leipzig, Germany","PARASITES IN MARINE FOOD WEBS"
"Parasites exert conflicting selection pressures to affect reproductive asynchrony of their host plant in an obligate pollination mutualism","Parasites in brains of wild rodents (Arvicolinae and Murinae) in the city of Leipzig, Germany"
"Parasites enhance resistance to drought in a coastal ecosystem","Parasites exert conflicting selection pressures to affect reproductive asynchrony of their host plant in an obligate pollination mutualism"
"Parasites either reduce or increase host vulnerability to fishing: a case study of a parasitic copepod and its salmonid host","Parasites enhance resistance to drought in a coastal ecosystem"
"Parasites discover behavioral ecology: how to manage one's host in a complex world","Parasites either reduce or increase host vulnerability to fishing: a case study of a parasitic copepod and its salmonid host"
"Parasites differentially impact crayfish personality in different contexts","Parasites discover behavioral ecology: how to manage one's host in a complex world"
"Parasites and Host Performance: Incorporating Infection into Our Understanding of Animal Movement","Parasites differentially impact crayfish personality in different contexts"
"Parasites and the superorganism","Parasites and the superorganism"
"Parasites and supernormal manipulation","Parasites and supernormal manipulation"
"Parasites and behavior: an ethopharmacological analysis and biomedical implications","Parasites and Host Performance: Incorporating Infection into Our Understanding of Animal Movement"
"Parasites alter freshwater communities in mesocosms by modifying invasive crayfish behavior","Parasites and behavior: an ethopharmacological analysis and biomedical implications"
"Parasites alter community structure","Parasites alter freshwater communities in mesocosms by modifying invasive crayfish behavior"
"PARASITE-related pairing success in an intermediate host, Caecidotea intermedius (Isopoda):: Effects of male behavior and reproductive physiology","Parasites alter community structure"
"Parasite-related modification of mating behaviour and refuge use in the aquatic isopod Caecidotea intermedius: neurological correlates","PARASITE-related pairing success in an intermediate host, Caecidotea intermedius (Isopoda):: Effects of male behavior and reproductive physiology"
"Parasite-Parasite Interactions in the Wild: How To Detect Them?","Parasite-related modification of mating behaviour and refuge use in the aquatic isopod Caecidotea intermedius: neurological correlates"
"Parasite-modified behaviour in non-trophic transmission: trematode parasitism increases the attraction between snail intermediate hosts","Parasite-Parasite Interactions in the Wild: How To Detect Them?"
"Parasite-mediated manipulation? Toxoplasma gondii infection increases risk behaviour towards culling in red deer","Parasite-modified behaviour in non-trophic transmission: trematode parasitism increases the attraction between snail intermediate hosts"
"Parasite-mediated predation between native and invasive amphipods","Parasite-mediated predation between native and invasive amphipods"
"Parasite-mediated enhancement of transmission by haematophagous insects","Parasite-mediated manipulation? Toxoplasma gondii infection increases risk behaviour towards culling in red deer"
"Parasite-mediated changes in host traits alter food web dynamics","Parasite-mediated enhancement of transmission by haematophagous insects"
"Parasite-mediated allochthonous input: Do hairworms enhance subsidized predation of stream salmonids on crickets?","Parasite-mediated changes in host traits alter food web dynamics"
"Parasite-infected sticklebacks increase the risk-taking behaviour of uninfected group members","Parasite-mediated allochthonous input: Do hairworms enhance subsidized predation of stream salmonids on crickets?"
"Parasite-induced warning coloration: a novel form of host manipulation","Parasite-infected sticklebacks increase the risk-taking behaviour of uninfected group members"
"Parasite-induced trophic facilitation exploited by a non-host predator: a manipulator's nightmare","Parasite-induced warning coloration: a novel form of host manipulation"
"Parasite-induced surfacing in the cockle Austrovenus stuchburyi:: adaptation or not?","Parasite-induced trophic facilitation exploited by a non-host predator: a manipulator's nightmare"
"Parasite-induced suppression of aggregation under predation risk in a freshwater amphipod Sociality of infected amphipods","Parasite-induced surfacing in the cockle Austrovenus stuchburyi:: adaptation or not?"
"Parasite-induced inversion of geotaxis in a freshwater amphipod: a role for anaerobic metabolism?","Parasite-induced suppression of aggregation under predation risk in a freshwater amphipod Sociality of infected amphipods"
"Parasite-induced colour alteration of intermediate hosts increases ingestion by suitable final host species","Parasite-induced inversion of geotaxis in a freshwater amphipod: a role for anaerobic metabolism?"
"Parasite-induced changes in the behaviour of cestode-infected beetles: Adaptation or simple pathology?","Parasite-induced colour alteration of intermediate hosts increases ingestion by suitable final host species"
"Parasite-induced change in host behaviour and susceptibility to predation in an eye fluke -: fish interaction","Parasite-induced changes in the behaviour of cestode-infected beetles: Adaptation or simple pathology?"
"Parasite-induced change in host behavior of a freshwater snail: parasitic manipulation or byproduct of infection?","Parasite-induced Changes in the Anti-predator Behavior of a Cricket Intermediate Host"
"Parasite-induced and parasite development-dependent alteration of the swimming behavior of fish hosts","Parasite-induced change in host behaviour and susceptibility to predation in an eye fluke -: fish interaction"
"Parasite-induced alterations of sensorimotor pathways in gammarids: collateral damage of neuroinflammation?","Parasite-induced change in host behavior of a freshwater snail: parasitic manipulation or byproduct of infection?"
"Parasite-induced alteration of plastic response to predation threat: increased refuge use but lower food intake in Gammarus pulex infected with the acanothocephalan Pomphorhynchus laevis","Parasite-induced and parasite development-dependent alteration of the swimming behavior of fish hosts"
"Parasite-induced alteration of odour responses in an amphipod-acanthocephalan system","Parasite-induced alterations of sensorimotor pathways in gammarids: collateral damage of neuroinflammation?"
"Parasite-induced aggression and impaired contest ability in a fish host","Parasite-induced alteration of plastic response to predation threat: increased refuge use but lower food intake in Gammarus pulex infected with the acanothocephalan Pomphorhynchus laevis"
"Parasite-host elemental content and the effects of a parasite on host-consumer-driven nutrient recycling","Parasite-induced alteration of odour responses in an amphipod-acanthocephalan system"
"Parasite-augmented mate choice and reduction in innate fear in rats infected by Toxoplasma gondii","Parasite-induced aggression and impaired contest ability in a fish host"
"Parasite-associated growth enhancement in a fish-cestode system","Parasite-host elemental content and the effects of a parasite on host-consumer-driven nutrient recycling"
"Parasite-altered host behavior in the face of a predator: manipulation or not?","Parasite-augmented mate choice and reduction in innate fear in rats infected by Toxoplasma gondii"
"Parasite-altered feeding behavior in insects: integrating functional and mechanistic research frontiers","Parasite-associated growth enhancement in a fish-cestode system"
"Parasite virulence when the infection reduces the host immune response","Parasite-altered host behavior in the face of a predator: manipulation or not?"
"Parasite transmission between trophic levels stabilizes predator-prey interaction","Parasite-altered feeding behavior in insects: integrating functional and mechanistic research frontiers"
"Parasite resource manipulation drives bimodal variation in infection duration","Parasite virulence when the infection reduces the host immune response"
"Parasite removal rates by the cleaner wrasse Labroides dimidiatus","Parasite transmission between trophic levels stabilizes predator-prey interaction"
"Parasite reliance on its host gut microbiota for nutrition and survival","Parasite resource manipulation drives bimodal variation in infection duration"
"Parasite Presence Induces Gene Expression Changes in an Ant Host Related to Immunity and Longevity","Parasite removal rates by the cleaner wrasse Labroides dimidiatus"
"Parasite manipulation of host phenotypes inferred from transcriptional analyses in a trematode-amphipod system","Parasite reliance on its host gut microbiota for nutrition and survival"
"Parasite manipulation of host personality and behavioural syndromes","Parasite Presence Induces Gene Expression Changes in an Ant Host Related to Immunity and Longevity"
"Parasite manipulation of host behavior: mechanisms, ecology, and future directions","Parasite manipulation of the proximate mechanisms that mediate social behavior in vertebrates"
"Parasite Manipulation of Host Behavior: An Update and Frequently Asked Questions","Parasite Manipulation of Its Host's Physiological Reaction to Acute Stress: Experimental Results from a Natural Beetle-Nematode System"
"PARASITE MANIPULATION OF HOST BEHAVIOR - SHOULD HOSTS ALWAYS LOSE","Parasite manipulation of insect reproduction: who benefits?"
"PARASITE MANIPULATION OF HOST BEHAVIOR - ACANTHOCEPHALANS AND SHRIMPS IN THE LABORATORY","Parasite manipulation of host phenotypes inferred from transcriptional analyses in a trematode-amphipod system"
"Parasite manipulation of host behavior","Parasite manipulation of host personality and behavioural syndromes"
"Parasite manipulation of the proximate mechanisms that mediate social behavior in vertebrates","Parasite manipulation of host behavior: mechanisms, ecology, and future directions"
"Parasite Manipulation of Its Host's Physiological Reaction to Acute Stress: Experimental Results from a Natural Beetle-Nematode System","Parasite Manipulation of Host Behavior: An Update and Frequently Asked Questions"
"Parasite manipulation of insect reproduction: who benefits?","PARASITE MANIPULATION OF HOST BEHAVIOR - SHOULD HOSTS ALWAYS LOSE"
"Parasite manipulation of brain monoamines in California killifish (Fundulus parvipinnis) by the trematode Euhaplorchis californiensis","PARASITE MANIPULATION OF HOST BEHAVIOR - ACANTHOCEPHALANS AND SHRIMPS IN THE LABORATORY"
"Parasite insight: assessing fitness costs, infection risks and foraging benefits relating to gastrointestinal nematodes in wild mammalian herbivores","Parasite manipulation of host behavior"
"Parasite infestation increases on coral reefs without cleaner fish","Parasite manipulation of brain monoamines in California killifish (Fundulus parvipinnis) by the trematode Euhaplorchis californiensis"
"PARASITE INFESTATION AND PARENTAL CARE IN THE BARN SWALLOW HIRUNDO-RUSTICA - A TEST OF THE RESOURCE-PROVISIONING MODEL OF PARASITE-MEDIATED SEXUAL SELECTION","Parasite insight: assessing fitness costs, infection risks and foraging benefits relating to gastrointestinal nematodes in wild mammalian herbivores"
"Parasite infection reduces predation risk by dragonfly larvae in crustacean prey","Parasite infestation increases on coral reefs without cleaner fish"
"Parasite infection in a central sensory organ of fish does not affect host personality","PARASITE INFESTATION AND PARENTAL CARE IN THE BARN SWALLOW HIRUNDO-RUSTICA - A TEST OF THE RESOURCE-PROVISIONING MODEL OF PARASITE-MEDIATED SEXUAL SELECTION"
"Parasite infection impairs the shoaling behaviour of uninfected shoal members under predator attack","Parasite infection reduces predation risk by dragonfly larvae in crustacean prey"
"Parasite infection disrupts escape behaviours in fish shoals","Parasite infection in a central sensory organ of fish does not affect host personality"
"Parasite Infection and Host's Behavior","Parasite infection impairs the shoaling behaviour of uninfected shoal members under predator attack"
"Parasite infection and host personality: Glugea-infected three-spined sticklebacks are more social","Parasite infection disrupts escape behaviours in fish shoals"
"Parasite infection and the movement of the aquatic snail Potamopyrgus antipodarum along a depth cline","Parasite infection and the movement of the aquatic snail Potamopyrgus antipodarum along a depth cline"
"Parasite infection and sand coarseness increase sand crab (Emerita analoga) burrowing time","Parasite infection and sand coarseness increase sand crab (Emerita analoga) burrowing time"
"Parasite induced summer mortality in the cockle Cerastoderma edule by the trematode Gymnophallus choledochus","Parasite Infection and Host's Behavior"
"Parasite immune evasion and manipulation of host phenotype","Parasite infection and host personality: Glugea-infected three-spined sticklebacks are more social"
"Parasite immune evasion and manipulation of host phenotype","Parasite induced summer mortality in the cockle Cerastoderma edule by the trematode Gymnophallus choledochus"
"Parasite evolution of host manipulation strategies with fluctuating ecological dynamics","Parasite immune evasion and manipulation of host phenotype"
"Parasite attractants: Identifying trap baits for parasite management in aquaculture","Parasite immune evasion and manipulation of host phenotype"
"Parasite and pathogen effects on ecosystem processes: A quantitative review","Parasite evolution of host manipulation strategies with fluctuating ecological dynamics"
"Parasite alteration of host shape: a quantitative approach to gigantism helps elucidate evolutionary advantages","Parasite attractants: Identifying trap baits for parasite management in aquaculture"
"Paradigms for parasite conservation","Parasite and pathogen effects on ecosystem processes: A quantitative review"
"Overcoming barriers to the transformation of the genus Ehrlichia","Parasite alteration of host shape: a quantitative approach to gigantism helps elucidate evolutionary advantages"
"Oral transfer of adult Ancylostoma ceylanicum hookworms into permissive and nonpermissive host species","Paradigms for parasite conservation"
"Optimizing culture conditions for free-living stages of the nematode parasite Strongyloides ratti","Overcoming barriers to the transformation of the genus Ehrlichia"
"Optimization of sand fly embryo microinjection for gene editing by CRISPR/Cas9","Oral transfer of adult Ancylostoma ceylanicum hookworms into permissive and nonpermissive host species"
"Opposing life history strategies allow grass shrimp parasites to avoid a conflict of interest","Optimizing culture conditions for free-living stages of the nematode parasite Strongyloides ratti"
"Opening a can of worms: a test of the co-infection facilitation hypothesis","Optimization of sand fly embryo microinjection for gene editing by CRISPR/Cas9"
"Ookinete-induced midgut peroxidases detonate the time bomb in anopheline mosquitoes","Opposing life history strategies allow grass shrimp parasites to avoid a conflict of interest"
"On the Origins of Parasite-Extended Phenotypes","Opening a can of worms: a test of the co-infection facilitation hypothesis"
"Odour of domestic dogs infected with Leishmania infantum is attractive to female but not male sand flies: Evidence for parasite manipulation","Ookinete-induced midgut peroxidases detonate the time bomb in anopheline mosquitoes"
"Nutrient stoichiometry shapes microbial coevolution","On the Origins of Parasite-Extended Phenotypes"
"Novel Components of the Toxoplasma Inner Membrane Complex Revealed by BioID","Odour of domestic dogs infected with Leishmania infantum is attractive to female but not male sand flies: Evidence for parasite manipulation"
"Nosema Tolerant Honeybees (Apis mellifera) Escape Parasitic Manipulation of Apoptosis","Nutrient stoichiometry shapes microbial coevolution"
"Nosema ceranae parasitism impacts olfactory learning and memory and neurochemistry in honey bees (Apis mellifera)","Novel Components of the Toxoplasma Inner Membrane Complex Revealed by BioID"
"Non-Specific Manipulation of Gammarid Behaviour by P-minutus Parasite Enhances Their Predation by Definitive Bird Hosts","Nosema Tolerant Honeybees (Apis mellifera) Escape Parasitic Manipulation of Apoptosis"
"Non-random patterns of host use by the different parasite species exploiting a cockle population","Nosema ceranae parasitism impacts olfactory learning and memory and neurochemistry in honey bees (Apis mellifera)"
"Nonmanipulative parasites in manipulated hosts: 'Hitch-hikers' or simply 'lucky passengers'?","Non-Specific Manipulation of Gammarid Behaviour by P-minutus Parasite Enhances Their Predation by Definitive Bird Hosts"
"Non-Lytic, Actin-Based Exit of Intracellular Parasites from C. elegans Intestinal Cells","Non-random patterns of host use by the different parasite species exploiting a cockle population"
"Non-Invasive In Vivo Study of the Trypanosoma vivax Infectious Process Consolidates the Brain Commitment in Late Infections","Nonmanipulative parasites in manipulated hosts: 'Hitch-hikers' or simply 'lucky passengers'?"
"Non-coding RNAs and HIV: viral manipulation of host dark matter to shape the cellular environment","Non-Lytic, Actin-Based Exit of Intracellular Parasites from C. elegans Intestinal Cells"
"Non chemical control of helminths in ruminants: Adapting solutions for changing worms in a changing world","Non-Invasive In Vivo Study of the Trypanosoma vivax Infectious Process Consolidates the Brain Commitment in Late Infections"
"No impact of a presumed manipulative parasite on the responses and susceptibility of fish to simulated predation","Non-coding RNAs and HIV: viral manipulation of host dark matter to shape the cellular environment"
"No experimental effects of parasite load on male mating behaviour and reproductive success","Non chemical control of helminths in ruminants: Adapting solutions for changing worms in a changing world"
"No Evidence of Association between Toxoplasma gondii Infection and Financial Risk Taking in Females","No impact of a presumed manipulative parasite on the responses and susceptibility of fish to simulated predation"
"No evidence for manipulation of Anopheles gambiae, An. coluzzii and An. arabiensis host preference by Plasmodium falciparum","No experimental effects of parasite load on male mating behaviour and reproductive success"
"No evidence for the evolution of mating behavior in spider mites due to Wolbachia-induced cytoplasmic incompatibility","No Evidence of Association between Toxoplasma gondii Infection and Financial Risk Taking in Females"
"Next-Generation Technologies and Systems Biology for the Design of Novel Vaccines Against Apicomplexan Parasites","No evidence for the evolution of mating behavior in spider mites due to Wolbachia-induced cytoplasmic incompatibility"
"New manipulation records of social wasps (Hymenoptera: Vespidae) behavior by the entomopathogenic Ophiocordyceps Petch (Hypocreales: Ophiocordycipitaceae) fungus","No evidence for manipulation of Anopheles gambiae, An. coluzzii and An. arabiensis host preference by Plasmodium falciparum"
"New insights into the genome and transmission of the microsporidian pathogen Nosema muscidifuracis","Next-Generation Technologies and Systems Biology for the Design of Novel Vaccines Against Apicomplexan Parasites"
"New insights into experimental visceral leishmaniasis: Real-time in vivo imaging of Leishmania donovani virulence","New manipulation records of social wasps (Hymenoptera: Vespidae) behavior by the entomopathogenic Ophiocordyceps Petch (Hypocreales: Ophiocordycipitaceae) fungus"
